taxa,sp_ncbi,species,gtime,gtime.notes
Amphibian,Lithobates sylvaticus,Rana sylvatica,2.5,NA
Amphibian,Pelophylax lessonae/ridibunda,Rana esculenta complex,2,NA
Amphibian,Rana arvalis,Rana arvalis,2.5,NA
Amphibian,Rhinella marina,Bufo marinus,1,NA
Amphibian,Speleomantes strinatii,Hydromantes strinatii,4.2,NA
Annelid,Limnodrilus hoffmeisteri,Limnodrilus hoffmeisteri,0.67,"The authors assumed that the elapsed time (9 years) correspond with 9 to 18 generations (mean value 13.5). So, generation time is between 0.5 and 1 (mean value 9/13.5= 0.67)."
Bird,Acrocephalus scirpaceus,Acrocephalus scirpaceus,2,NA
Bird,Acrocephalus scirpaceus,Acrocephalus scirpaceus,1,NA
Bird,Aegithalos caudatus,Aegithalos caudatus,2,NA
Bird,Agelaius phoeniceus,Agelaius phoeniceus,1.7,NA
Bird,Alauda arvensis,Alauda arvensis,3,NA
Bird,Anser caerulescens caerulescens,Anser caerulescens caerulescens,3,NA
Bird,Anthus campestris,Anthus campestris,3,NA
Bird,Anthus pratensis,Anthus pratensis,3,NA
Bird,Anthus trivialis,Anthus trivialis,3,NA
Bird,Aphelocoma ultramarina,Aphelocoma ultramarina,2.5,NA
Bird,Apus apus,Apus apus,7,NA
Bird,Archilochus colubris,Archilochus colubris,1.7,NA
Bird,Bombycilla cedrorum,Bombycilla cedrorum,1.7,NA
Bird,Branta leucopsis,Branta leucopsis,2,NA
Bird,Cardinalis cardinalis,Cardinalis cardinalis,1.7,NA
Bird,Carduelis carduelis,Carduelis carduelis,2,NA
Bird,Catharus fuscescens,Catharus fuscescens,1.7,NA
Bird,Catharus guttatus,Catharus guttatus,1.7,NA
Bird,Catharus minimus,Catharus minimus,1.7,NA
Bird,Chloris chloris,Carduelis chloris,3,NA
Bird,Coccothraustes coccothraustes,Coccothraustes coccothraustes,3,NA
Bird,Coccyzus americanus,Coccyzus americanus,1.7,NA
Bird,Coccyzus erythropthalmus,Coccyzus erythropthalmus,1.7,NA
Bird,Contopus virens,Contopus virens,1.7,NA
Bird,Coturnix coturnix,Coturnix coturnix,2,NA
Bird,Cyanistes caeruleus,Parus caeruleus,1.9,NA
Bird,Cyanistes caeruleus,Parus caeruleus,2,NA
Bird,Cyanistes caeruleus,Parus caeruleus,2.64,from the paper and the email Anne sent us
Bird,Cyanistes caeruleus,Parus caeruleus,1.91,from the paper and the email Anne sent us
Bird,Cyanocitta cristata,Cyanocitta cristata,1.7,NA
Bird,Cygnus olor,Cygnus olor,7.2,from the paper and the email Anne sent us
Bird,Delichon urbicum,Delichon urbica,3,NA
Bird,Dryobates pubescens,Picoides pubescens,1.7,NA
Bird,Dumetella carolinensis,Dumetella carolinensis,1.7,NA
Bird,Emberiza cia,Emberiza cia,3,NA
Bird,Emberiza hortulana,Emberiza hortulana,3,NA
Bird,Emberiza schoeniclus,Emberiza schoeniclus,3,NA
Bird,Empidonax alnorum/traillii,Empidonax alnorum/traillii,1.7,NA
Bird,Empidonax minimus,Empidonax minimus,1.7,NA
Bird,Empidonax virescens,Empidonax virescens,1.7,NA
Bird,Erithacus rubecula,Erithacus rubecula,2,NA
Bird,Ficedula albicollis,Ficedula albicollis,1,NA
Bird,Ficedula hypoleuca,Ficedula hypoleuca,2,G length from http://thor.dmu.dk/1_Om_DMU/2_Tvaer-funk/3_fdc_bio/projekter/redlist/data_en.asp?ID=1653&gruppeID=4
Bird,Ficedula hypoleuca,Ficedula hypoleuca,2.3,NA
Bird,Fringilla coelebs,Fringilla coelebs,1,NA
Bird,Fringilla coelebs,Fringilla coelebs,3,NA
Bird,Fringilla montifringilla,Fringilla montifringilla,3,NA
Bird,Garrulus glandarius,Garrulus glandarius,4,NA
Bird,Geospiza fortis,Geospiza fortis,1,NA
Bird,Geospiza scandens,Geospiza scandens,1,NA
Bird,Geothlypis formosa,Geothlypis formosa,1.7,NA
Bird,Geothlypis trichas,Geothlypis trichas,1.7,NA
Bird,Haemorhous mexicanus,Carpodacus mexicanus,1.7,NA
Bird,Haemorhous purpureus,Carpodacus purpureus,1.7,NA
Bird,Hesperiphona vespertina,Coccothraustes vespertinus,1.7,NA
Bird,Hippolais icterina,Hippolais icterina,2,NA
Bird,Hirundo rustica,Hirundo rustica,1.522,NA
Bird,Hirundo rustica,Hirundo rustica,1.7,NA
