group,taxa,species,sp_ncbi,GS_source,GS_obs,Cvalue_1C_pg,ploidy,N_chromosomes_2n,method,congener
invert,Annelid,Limnodrilus hoffmeisteri,Limnodrilus hoffmeisteri,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,0.87,NA,NA,Fe,no
invert,Mollusc,Dreissena polymorpha,Dreissena polymorpha,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.7,NA,NA,FIA,no
invert,Arthropod,Asellus aquaticus,Asellus aquaticus,"Valentino, F., Del Marco, A., & Rocchi, A. (1983). Nuclear DNA content of Asellus aquaticus and Proasellus coxalis. Mitt. Zool. Mus. Univ. Kiel, 1, 19-23.",c-value computed from table and new value of human c-value in the Animal Genome Size Database,2.34,2,16,Fe,no
invert,Arthropod,Daphnia galeata,Daphnia galeata,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Daphnia galeata mendotae,Daphnia mendotae,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,synonym Hyalodaphnia mendotae,0.33,NA,NA,Fe,no
invert,Arthropod,Daphnia melanica,Daphnia melanica,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,0.48,NA,NA,Fe,no
invert,Arthropod,Daphnia retrocurva,Daphnia retrocurva,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,0.29,NA,NA,Fe,no
invert,Arthropod,Diaptomus sanguineus,Onychodiaptomus sanguineus,NA,NA,NA,NA,NA,NA,NA
invert,Mollusc,Littorina obtusata,Littorina obtusata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.21,NA,34,FC_X,no
invert,Mollusc,Nucella lapillus,Nucella lapillus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,"Three options, similar amount 2.6-2.8: I choose the most complete report with DNA content estimated from somatic cells",2.6,NA,NA,Fe,no
invert,Mollusc,Physa virgata,Physella virgata,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Aedes albopictus,Aedes albopictus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,"Two options, similar amount. I choose the most complete report. Information is given as a range (0.62-1.66). I used the mean value.",1.14,NA,6,Fe,no
invert,Arthropod,Calliphora vicina,Calliphora vicina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,0.76,NA,NA,FC_X,no
invert,Arthropod,Drosophila subobscura,Drosophila subobscura,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,0.15,NA,NA,FC_X,no
invert,Arthropod,Jadera haematoloma,Jadera haematoloma,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Leptocoris tagalicus,Leptocoris tagalicus,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Onthophagus taurus,Onthophagus taurus,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Pararge aegeria aegeria,Pararge aegeria aegeria,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Pararge aegeria ticis,Pararge aegeria ticis,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Pieris rapae,Pieris rapae,NA,NA,NA,NA,NA,NA,NA
invert,Arthropod,Scathophaga stercoraria,Scathophaga stercoraria,NA,NA,NA,NA,NA,NA,NA
