species,common,taxa,phylum,class,order,sp_ncbi,sp_given.ncbi
Abrothrix longipilis apta,altiplano mice,Mammal,Chordata,Mammalia,Rodentia,Abrothrix longipilis,not_eq
Abrothrix olivaceus brachiotis,altiplano mice,Mammal,Chordata,Mammalia,Rodentia,Abrothrix olivaceus brachiotis,eq
Abrothrix olivaceus pencanus,Manso grass mouse,Mammal,Chordata,Mammalia,Rodentia,Abrothrix olivaceus pencanus,eq
Abrothrix sanborni,Sanborn's Grass Mouse,Mammal,Chordata,Mammalia,Rodentia,Abrothrix sanborni,eq
Achillea millefolium,,Plant,Streptophyta,Magnoliopsida,Asterales,Achillea millefolium,eq
Acrocephalus scirpaceus,Eurasian Reed Warbler,Bird,Chordata,Aves,Passeriformes,Acrocephalus scirpaceus,eq
Aedes albopictus,Asian tiger mosquito,Arthropod,Arthropoda,Insecta,Diptera,Aedes albopictus,eq
Aegithalos caudatus,Long-tailed Tit,Bird,Chordata,Aves,Passeriformes,Aegithalos caudatus,eq
Agelaius phoeniceus,Red-winged Blackbird,Bird,Chordata,Aves,Passeriformes,Agelaius phoeniceus,eq
Agropyron smithii,Cynomys ludovicianus,Plant,Streptophyta,Magnoliopsida,Poales,Pascopyrum smithii,not_eq
Agrostis capillaris,common bent,Plant,Streptophyta,Magnoliopsida,Poales,Agrostis capillaris,eq
Agrostis stolonifera,creeping bent,Plant,Streptophyta,Magnoliopsida,Poales,Agrostis stolonifera,eq
Agrostis tenuis,,Plant,Streptophyta,Magnoliopsida,Poales,Agrostis capillaris,not_eq
Ajuga reptans,,Plant,Streptophyta,Magnoliopsida,Lamiales,Ajuga reptans,eq
Akodon xanthorhinus xanthorhinus,grass mouse,Mammal,Chordata,Mammalia,Rodentia,Abrothrix xanthorhinus xanthorhinus,not_eq
Alauda arvensis,Eurasian skylark,Bird,Chordata,Aves,Passeriformes,Alauda arvensis,eq
Alliaria petiolata,garlic mustard,Plant,Streptophyta,Magnoliopsida,Brassicales,Alliaria petiolata,eq
Alopex lagopus,arctic fox,Mammal,Chordata,Mammalia,Carnivora,Vulpes lagopus,not_eq
Alosa pseudoharengus,alewife,Fish,Chordata,Actinopteri,Clupeiformes,Alosa pseudoharengus,eq
Ambrosia artemisiifolia,,Plant,Streptophyta,Magnoliopsida,Asterales,Ambrosia artemisiifolia,eq
Anolis sagrei,brown anole,Reptile,Chordata,Lepidosauria,Squamata,Anolis sagrei,eq
Anser caerulescens caerulescens,Snow Goose,Bird,Chordata,Aves,Anseriformes,Anser caerulescens caerulescens,eq
Anthoxanthum odoratum,sweet vernalgrass,Plant,Streptophyta,Magnoliopsida,Poales,Anthoxanthum odoratum,eq
Anthus campestris,Tawny Pipit,Bird,Chordata,Aves,Passeriformes,Anthus campestris,eq
Anthus pratensis,Meadow Pipit,Bird,Chordata,Aves,Passeriformes,Anthus pratensis,eq
Anthus trivialis,Tree Pipit,Bird,Chordata,Aves,Passeriformes,Anthus trivialis,eq
Aphelocoma ultramarina,Mexican jay,Bird,Chordata,Aves,Passeriformes,Aphelocoma ultramarina,eq
Apus apus,Common Swift,Bird,Chordata,Aves,Apodiformes,Apus apus,eq
Apus melba,Alpine Swift,Bird,Chordata,Aves,Apodiformes,Tachymarptis melba,not_eq
Archilochus colubris,Ruby-Throated Hummingbird,Bird,Chordata,Aves,Apodiformes,Archilochus colubris,eq
Argentina silas,greater argentine,Fish,Chordata,Actinopteri,Argentiniformes,Argentina silus,not_eq
Asellus aquaticus,freshwater isopod,Arthropod,Arthropoda,Malacostraca,Isopoda,Asellus aquaticus,eq
Barbarea vulgaris,,Plant,Streptophyta,Magnoliopsida,Brassicales,Barbarea vulgaris,eq
Betula pubescens,mountain birch tree,Plant,Streptophyta,Magnoliopsida,Fagales,Betula pubescens,eq
Bombycilla cedrorum,Cedar Waxwing,Bird,Chordata,Aves,Passeriformes,Bombycilla cedrorum,eq
Bouteloua gracilis,,Plant,Streptophyta,Magnoliopsida,Poales,Bouteloua gracilis,eq
Brachypodium sylvaticum,,Plant,Streptophyta,Magnoliopsida,Poales,Brachypodium sylvaticum,eq
Branta leucopsis,Barnacle Goose,Bird,Chordata,Aves,Anseriformes,Branta leucopsis,eq
Brassica nigra,,Plant,Streptophyta,Magnoliopsida,Brassicales,Brassica nigra,eq
Brassica rapa,field mustard,Plant,Streptophyta,Magnoliopsida,Brassicales,Brassica rapa,eq
Bromus madritensis,,Plant,Streptophyta,Magnoliopsida,Poales,Bromus madritensis,eq
Brosme brosme,cusk,Fish,Chordata,Actinopteri,Gadiformes,Brosme brosme,eq
Bufo marinus,cane toad,Amphibian,Chordata,Amphibia,Anura,Rhinella marina,not_eq
Bunias orientalis,,Plant,Streptophyta,Magnoliopsida,Brassicales,Bunias orientalis,eq
Butomus umbellatus,,Plant,Streptophyta,Magnoliopsida,Alismatales,Butomus umbellatus,eq
Calliphora vicina,,Arthropod,Arthropoda,Insecta,Diptera,Calliphora vicina,eq
Canis latrans,,Mammal,Chordata,Mammalia,Carnivora,Canis latrans,eq
Canis lupus,,Mammal,Chordata,Mammalia,Carnivora,Canis lupus,eq
Cardamine hirsuta,,Plant,Streptophyta,Magnoliopsida,Brassicales,Cardamine hirsuta,eq
Cardaria draba,,Plant,Streptophyta,Magnoliopsida,Brassicales,Lepidium draba,not_eq
Cardinalis cardinalis,,Bird,Chordata,Aves,Passeriformes,Cardinalis cardinalis,eq
Carduelis cannabina,,Bird,Chordata,Aves,Passeriformes,Linaria cannabina,not_eq
Carduelis carduelis,,Bird,Chordata,Aves,Passeriformes,Carduelis carduelis,eq
Carduelis chloris,,Bird,Chordata,Aves,Passeriformes,Chloris chloris,not_eq
Carduelis spinus,,Bird,Chordata,Aves,Passeriformes,Spinus spinus,not_eq
Carduus nutans,,Plant,Streptophyta,Magnoliopsida,Asterales,Carduus nutans,eq
Carpodacus mexicanus,,Bird,Chordata,Aves,Passeriformes,Haemorhous mexicanus,not_eq
Carpodacus purpureus,,Bird,Chordata,Aves,Passeriformes,Haemorhous purpureus,not_eq
Catharus fuscescens,,Bird,Chordata,Aves,Passeriformes,Catharus fuscescens,eq
Catharus guttatus,,Bird,Chordata,Aves,Passeriformes,Catharus guttatus,eq
Catharus minimus,,Bird,Chordata,Aves,Passeriformes,Catharus minimus,eq
Centaurea calcitrapa,,Plant,Streptophyta,Magnoliopsida,Asterales,Centaurea calcitrapa,eq
Centaurea diffusa,,Plant,Streptophyta,Magnoliopsida,Asterales,Centaurea diffusa,eq
Centaurea maculosa,,Plant,Streptophyta,Magnoliopsida,Asterales,Centaurea maculosa,eq
Centaurea melitensis,,Plant,Streptophyta,Magnoliopsida,Asterales,Centaurea melitensis,eq
Centaurea solstitialis,,Plant,Streptophyta,Magnoliopsida,Asterales,Centaurea solstitialis,eq
Centaurea sulphurea,,Plant,Streptophyta,Magnoliopsida,Asterales,Centaurea sulphurea,eq
Cervus elaphus,,Mammal,Chordata,Mammalia,Artiodactyla,Cervus elaphus,eq
Cervus elaphus hispanicus,,Mammal,Chordata,Mammalia,Artiodactyla,Cervus elaphus hispanicus,eq
Cervus elaphus scoticus,,Mammal,Chordata,Mammalia,Artiodactyla,Cervus elaphus scoticus,eq
Chaetodipus fallax fallax,,Mammal,Chordata,Mammalia,Rodentia,Chaetodipus fallax fallax,eq
Chelidonium majus,,Plant,Streptophyta,Magnoliopsida,Ranunculales,Chelidonium majus,eq
Chionomys nivalis,,Mammal,Chordata,Mammalia,Rodentia,Chionomys nivalis,eq
Cichorium intybus,,Plant,Streptophyta,Magnoliopsida,Asterales,Cichorium intybus,eq
Clidemia hirta,,Plant,Streptophyta,Magnoliopsida,Myrtales,Miconia crenata,not_eq
Clupea harengus,,Fish,Chordata,Actinopteri,Clupeiformes,Clupea harengus,eq
Cnidoglanis macrocephalus,,Fish,Chordata,Actinopteri,Siluriformes,Cnidoglanis macrocephalus,eq
Coccothraustes coccothraustes,,Bird,Chordata,Aves,Passeriformes,Coccothraustes coccothraustes,eq
Coccothraustes vespertinus,,Bird,Chordata,Aves,Passeriformes,Hesperiphona vespertina,not_eq
Coccyzus americanus,,Bird,Chordata,Aves,Cuculiformes,Coccyzus americanus,eq
Coccyzus erythropthalmus,,Bird,Chordata,Aves,Cuculiformes,Coccyzus erythropthalmus,eq
Contopus virens,,Bird,Chordata,Aves,Passeriformes,Contopus virens,eq
Coregonus albellus,,Fish,Chordata,Actinopteri,Salmoniformes,Coregonus albellus,eq
Coregonus clupeaformis,,Fish,Chordata,Actinopteri,Salmoniformes,Coregonus clupeaformis,eq
Coregonus fatioi,,Fish,Chordata,Actinopteri,Salmoniformes,Coregonus fatioi,eq
Coregonus lavaretus,,Fish,Chordata,Actinopteri,Salmoniformes,Coregonus lavaretus,eq
Coturnix coturnix,,Bird,Chordata,Aves,Galliformes,Coturnix coturnix,eq
Crepis sancta,,Plant,Streptophyta,Magnoliopsida,Asterales,Crepis sancta,eq
Cyanocitta cristata,,Bird,Chordata,Aves,Passeriformes,Cyanocitta cristata,eq
Cygnus olor,,Bird,Chordata,Aves,Anseriformes,Cygnus olor,eq
Cynoglossum officinale,,Plant,Streptophyta,Magnoliopsida,Boraginales,Cynoglossum officinale,eq
Cynotilapia afra,,Fish,Chordata,Actinopteri,Cichliformes,Cynotilapia afra,eq
Cyprinella venusta,,Fish,Chordata,Actinopteri,Cypriniformes,Cyprinella venusta,eq
Cyprinodon tularosa,white sands pupfish,Fish,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodon tularosa,eq
