species,taxa,taxa_fine,sp_ncbi,sp_given.ncbi
Abrothrix longipilis apta,Mammal,Mammalia,Abrothrix longipilis,not_eq
Abrothrix olivaceus brachiotis,Mammal,Mammalia,Abrothrix olivaceus brachiotis,eq
Abrothrix olivaceus pencanus,Mammal,Mammalia,Abrothrix olivaceus pencanus,eq
Abrothrix sanborni,Mammal,Mammalia,Abrothrix sanborni,eq
Achillea millefolium,Plant,Asteraceae,Achillea millefolium,eq
Acrocephalus scirpaceus,Bird,Aves,Acrocephalus scirpaceus,eq
Aedes albopictus,Insect,Insecta,Aedes albopictus,eq
Aegithalos caudatus,Bird,Aves,Aegithalos caudatus,eq
Agelaius phoeniceus,Bird,Aves,Agelaius phoeniceus,eq
Agropyron smithii,Plant,Poaceae,Pascopyrum smithii,not_eq
Agrostis capillaris,Plant,Poaceae,Agrostis capillaris,eq
Agrostis stolonifera,Plant,Poaceae,Agrostis stolonifera,eq
Agrostis tenuis,Plant,Poaceae,Agrostis capillaris,not_eq
Ajuga reptans,Plant,Lamiaceae,Ajuga reptans,eq
Akodon xanthorhinus xanthorhinus,Mammal,Mammalia,Abrothrix xanthorhinus xanthorhinus,not_eq
Alauda arvensis,Bird,Aves,Alauda arvensis,eq
Alliaria petiolata,Plant,Brassicaceae,Alliaria petiolata,eq
Alopex lagopus,Mammal,Mammalia,Vulpes lagopus,not_eq
Alosa pseudoharengus,Fish,Actinopterygii,Alosa pseudoharengus,eq
Ambrosia artemisiifolia,Plant,Asteraceae,Ambrosia artemisiifolia,eq
Anolis sagrei,Lizard,Reptilia,Anolis sagrei,eq
Anser caerulescens caerulescens,Bird,Aves,Anser caerulescens caerulescens,eq
Anthoxanthum odoratum,Plant,Poaceae,Anthoxanthum odoratum,eq
Anthus campestris,Bird,Aves,Anthus campestris,eq
Anthus pratensis,Bird,Aves,Anthus pratensis,eq
Anthus trivialis,Bird,Aves,Anthus trivialis,eq
Aphelocoma ultramarina,Bird,Aves,Aphelocoma ultramarina,eq
Apus apus,Bird,Aves,Apus apus,eq
Apus melba,Bird,Aves,Tachymarptis melba,not_eq
Archilochus colubris,Bird,Aves,Archilochus colubris,eq
Argentina silas,Fish,Actinopterygii,Argentina silus,not_eq
Asellus aquaticus,Crustacean,Crustacea,Asellus aquaticus,eq
Barbarea vulgaris,Plant,Brassicaceae,Barbarea vulgaris,eq
Betula pubescens,Plant,Betulaceae,Betula pubescens,eq
Bombycilla cedrorum,Bird,Aves,Bombycilla cedrorum,eq
Bouteloua gracilis,Plant,Poaceae,Bouteloua gracilis,eq
Brachypodium sylvaticum,Plant,Poaceae,Brachypodium sylvaticum,eq
Branta leucopsis,Bird,Aves,Branta leucopsis,eq
Brassica nigra,Plant,Brassicaceae,Brassica nigra,eq
Brassica rapa,Plant,Brassicaceae,Brassica rapa,eq
Bromus madritensis,Plant,Poaceae,Bromus madritensis,eq
Brosme brosme,Fish,Actinopterygii,Brosme brosme,eq
Bufo marinus,Amphibian,Amphibia,Rhinella marina,not_eq
Bunias orientalis,Plant,Brassicaceae,Bunias orientalis,eq
Butomus umbellatus,Plant,Butomaceae,Butomus umbellatus,eq
Calliphora vicina,Insect,Insecta,Calliphora vicina,eq
Canis latrans,Mammal,Mammalia,Canis latrans,eq
Canis lupus,Mammal,Mammalia,Canis lupus,eq
Cardamine hirsuta,Plant,Brassicaceae,Cardamine hirsuta,eq
Cardaria draba,Plant,Brassicaceae,Lepidium draba,not_eq
Cardinalis cardinalis,Bird,Aves,Cardinalis cardinalis,eq
Carduelis cannabina,Bird,Aves,Linaria cannabina,not_eq
Carduelis carduelis,Bird,Aves,Carduelis carduelis,eq
Carduelis chloris,Bird,Aves,Chloris chloris,not_eq
Carduelis spinus,Bird,Aves,Spinus spinus,not_eq
Carduus nutans,Plant,Asteraceae,Carduus nutans,eq
Carpodacus mexicanus,Bird,Aves,Haemorhous mexicanus,not_eq
Carpodacus purpureus,Bird,Aves,Haemorhous purpureus,not_eq
Catharus fuscescens,Bird,Aves,Catharus fuscescens,eq
Catharus guttatus,Bird,Aves,Catharus guttatus,eq
